cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	Clostridiales 983	RPS4Y1_6192;USP9Y_8287	0.012660632613438305
2	Streptococcus 6859	HMGCS2_3158	0.012660632613438305
3	Streptococcus 2401;Streptococcus 6727;Streptococcus 6732	MT1M_4499	0.012660632613438305
4	Gemella 80;Streptococcus 2401;Streptococcus 6727;Streptococcus 6732	ASAH2_56624	0.012660632613438305
5	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	SLC13A1_6561;PLB1_151056	0.012660632613438305
6	Streptococcus 2401	SLC5A4_6527;LRAT_9227;SOAT2_8435	0.012660632613438305
7	Streptococcus 2401	MAOB_4129	0.012660632613438305
8	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	SUSD2_56241	0.012660632613438305
9	Gemella 80;Streptococcus 2401;Streptococcus 6727;Streptococcus 6732;Lactobacillales 146;Lactobacillales 4645;Streptococcus 9;Streptococcus 6859;Actinomyces 100;Streptococcus 88;Streptococcus 5159;Streptococcus 6498	WDR49_151790	0.012660632613438305
10	Streptococcus 88	ASAH2_56624	0.012723476325109579
11	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	LRAT_9227	0.012723476325109579
12	Clostridiales 8	RPS4Y1_6192;USP9Y_8287	0.01468837845516825
13	Bacteroides 6508;Bacteroides 2942	TMPRSS15_5651	0.01468837845516825
14	Enterobacteriaceae 22	TCN1_6947	0.01468837845516825
15	Streptococcus 2401	MT1H_4496	0.01468837845516825
16	Streptococcus 2401	CA1_759	0.01468837845516825
17	Lactobacillales 4645	ASAH2_56624	0.01468837845516825
18	Gemella 80;Streptococcus 2401;Streptococcus 6727;Streptococcus 6732	SLC13A1_6561;PLB1_151056	0.01468837845516825
19	Lactobacillales 146;Lactobacillales 4645	PLB1_151056	0.01468837845516825
20	Streptococcus 88	CPO_130749	0.01468837845516825
21	Streptococcus 2401	TRPM6_140803;ASPA_443;FMO1_2326;CUBN_8029;SLC5A12_159963	0.01468837845516825
22	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	DPEP1_1800	0.01468837845516825
23	Unclassified	WDR49_151790	0.01468837845516825
24	Streptococcus 6859	SULT1C2_6819	0.014817070589765852
25	Bifidobacterium 3685	APOA4_337	0.014817070589765852
26	Clostridium 577	MFAP5_8076	0.014817070589765852
27	Unclassified	ASAH2_56624	0.014817070589765852
28	Streptococcus 2401	DPEP1_1800	0.014817070589765852
