"","feature","exposure","coef","stderr","pval","k","tau2","stderr.tau2","pval.tau2","I2","H2","weight_FengQ_2015.metaphlan_bugs_list.stool","weight_HanniganGD_2017.metaphlan_bugs_list.stool","weight_VogtmannE_2016.metaphlan_bugs_list.stool","weight_YuJ_2015.metaphlan_bugs_list.stool","weight_ZellerG_2014.metaphlan_bugs_list.stool","pval.bonf","qval.fdr"
"s__Faecalibacterium_prausnitzii","s__Faecalibacterium_prausnitzii","CRC",-0.0283153993789353,0.01589490697992,0.0748449500582097,5,0.000584767916034592,0.000887511635758763,0.114437972126288,47.151162219127,1.89218919845749,22.1177050991038,13.1359369169353,18.7541938550063,19.7426586527115,26.2495054762431,1,0.357088944423796
"s__Streptococcus_salivarius","s__Streptococcus_salivarius","CRC",-0.0149067746489796,0.00808078905956326,0.0650786139953099,5,0.000191249111158997,0.000229580363585941,0.0231446019687335,60.3913731283206,2.52470251806434,18.5237181028592,13.5976737650295,25.2278259518014,20.3151789063346,22.3356032739753,1,0.326290645071313
"s__Ruminococcus_sp_5_1_39BFAA","s__Ruminococcus_sp_5_1_39BFAA","CRC",-0.0313343578608288,0.013904021469772,0.0242201882070312,5,0.000557165171435863,0.000647707866449399,0.0234956002473074,69.4045609614449,3.26846102368344,12.3663710891743,4.16981915370424,29.0616379865893,27.9072478603553,26.4949239101769,1,0.174099044817144
"s__Subdoligranulum_unclassified","s__Subdoligranulum_unclassified","CRC",-0.00122273908414417,0.0171398337605836,0.943127934321484,5,0.000846578410485209,0.00103307617814297,0.0408838030185411,59.1353277898354,2.4471014837879,17.351867197617,14.0009433630725,22.632070935411,22.8797531367789,23.1353653671206,1,0.973291940749676
"s__Bacteroides_stercoris","s__Bacteroides_stercoris","CRC",0.00557300164299888,0.00839727906112687,0.506903111064254,5,0.000126913819014545,0.000240368624944006,0.218367705131411,37.9085303859682,1.61052718870422,34.3715603711236,27.6246510679304,7.04403915687644,10.7848186105572,20.1749307935122,1,0.794172335915127
"s__Bifidobacterium_longum","s__Bifidobacterium_longum","CRC",-0.0205950000632936,0.00889315388331369,0.0205677521179716,5,4.80408679597501e-05,0.000264835248405617,0.394893064900047,11.5366632438039,1.13041180297776,10.6330153294686,3.51529198563709,37.7795804993061,26.0781782866569,21.9939338989314,1,0.160093966997582
"s__Lactococcus_phage_jm2","s__Lactococcus_phage_jm2","CRC",-0.000753468684204739,0.00404404153743793,0.852197146891435,3,3.72069426394599e-05,4.95248106883243e-05,0.0104149976393346,79.297312537761,4.83029076212432,24.6741901808616,NA,NA,41.2699443405239,34.0558654786145,1,0.963492895107038
"s__Eubacterium_biforme","s__Eubacterium_biforme","CRC",-0.00206473971316192,0.00781577581765149,0.791644370522561,5,0.000111216769568827,0.000209867584139538,0.160410913333621,37.5242433282765,1.60062087003518,16.714284185075,7.05010223769708,22.3524544977604,26.8971982712516,26.9859608082159,1,0.950155216027386
"s__Collinsella_aerofaciens","s__Collinsella_aerofaciens","CRC",0.00145594435275641,0.00763480988886871,0.848762064438674,5,9.11374225765541e-05,0.000193257045719953,0.20065305973781,32.6484386428691,1.48474657431847,11.853619706345,2.83030187793772,30.6107876656503,23.8609288256332,30.8443619244338,1,0.963492895107038
"s__Lachnospiraceae_bacterium_5_1_63FAA","s__Lachnospiraceae_bacterium_5_1_63FAA","CRC",-0.00807634856865435,0.00497992979732085,0.104850547326123,5,6.96745220859724e-05,8.60318652271877e-05,0.0495905493517372,61.575379145882,2.60249802801328,13.1011106873282,10.6411464114161,28.1417781395858,22.230667158144,25.8852976035259,1,0.410113347523189
"s__Eubacterium_hallii","s__Eubacterium_hallii","CRC",-0.0168079798186621,0.00832673438284868,0.0435333860323572,5,0.000194189206229263,0.00023705805778778,0.0477471536744795,63.8863394105668,2.76903527274274,14.3370777744171,6.59029845336739,26.0942918256121,30.1849311688248,22.7934007777787,1,0.265987326104172
"s__Streptococcus_parasanguinis","s__Streptococcus_parasanguinis","CRC",-0.00226497689731544,0.00407706703380981,0.578524842081025,5,1.84424838593965e-05,5.67532818682374e-05,0.355367423316832,22.1906434726556,1.28519248150905,20.462508308669,5.51081913086316,22.9685754043267,22.1015191377419,28.9565780183992,1,0.836219686723765
"s__Coprococcus_comes","s__Coprococcus_comes","CRC",-0.0176049070709058,0.00624656971738895,0.00482738721235717,5,6.95923729648347e-05,0.000133370929010964,0.366018015282465,36.7943875913955,1.58213798093643,19.0455821923246,5.68610143892217,30.165943824589,21.9683964923845,23.1339760517797,1,0.0942780762253637
"s__Dorea_longicatena","s__Dorea_longicatena","CRC",0.00104828047179352,0.00487750982807637,0.829828722874592,5,0,8.05609476994082e-05,0.976969186041541,0,1,8.36783015951124,3.88200799741253,24.7857653543558,43.3349632401482,19.6294332485722,1,0.963158517676984
"s__Dorea_formicigenerans","s__Dorea_formicigenerans","CRC",-0.000873937716429902,0.00402655696942149,0.828174503045763,5,1.92985812815019e-05,5.61785998109556e-05,0.285314089649777,23.700565126157,1.31062569683963,15.3918174668244,8.2807436533978,33.7590775558818,19.4783100398857,23.0900512840103,1,0.963158517676984
"s__Coprococcus_sp_ART55_1","s__Coprococcus_sp_ART55_1","CRC",-0.0164756143014655,0.00722102745367837,0.0225120005742272,5,2.98146954640392e-05,0.000183200868804971,0.397756374919056,11.3536671089498,1.12807824913529,20.4910826500653,25.5877753271005,14.5852464028142,23.7765111788428,15.5593844411772,1,0.170247004342593
"s__Ruminococcus_torques","s__Ruminococcus_torques","CRC",0.0263003573752672,0.00610073597411943,1.62507713897983e-05,5,0,0.000126652239272415,0.605756218822943,0,1,26.093766198995,5.07188379151707,22.835731954399,20.1229242942226,25.8756937608664,0.00786537335266237,0.00262179111755412
"s__Bacteroides_uniformis","s__Bacteroides_uniformis","CRC",0.00169466454519606,0.00951196373016899,0.858596241994813,5,0.000152104136009771,0.000317103800108268,0.185320207571378,33.8800282855188,1.5124023408815,25.4310594494174,20.1524620608082,11.9726978776248,22.8773763249096,19.56640428724,1,0.963492895107038
"s__Bacteroides_plebeius","s__Bacteroides_plebeius","CRC",0.000725352498093896,0.00376156019128913,0.84708984948314,5,3.12227934818429e-05,4.73486007589483e-05,0.198583308400223,59.8865710179546,2.49293073511017,32.9731160656465,43.5843321012219,7.32055563565211,5.76268552369388,10.3593106737856,1,0.963492895107038
"s__Ruminococcus_lactaris","s__Ruminococcus_lactaris","CRC",-0.00544938076671332,0.00511851724770248,0.287038644573959,5,0,9.25470122619508e-05,0.778843159063211,0,1,18.8322061541648,21.4252243711342,17.4403249109113,20.8406515942458,21.4615929695439,1,0.630749115672835
"s__Ruminococcus_obeum","s__Ruminococcus_obeum","CRC",-0.00903148457703979,0.00388799611696776,0.0201837180896453,5,0,5.13340652454066e-05,0.635962066519774,0,1,10.3174637422916,3.6596823903904,42.1490662440936,23.3038020552191,20.5699855680052,1,0.160093966997582
"s__Roseburia_intestinalis","s__Roseburia_intestinalis","CRC",-0.0152709646640874,0.00557583658121165,0.00616684664503846,5,0,0.00010865929156804,0.525815840766027,0,1,23.5101145790096,26.8249451298154,13.1316091729446,22.8988266187961,13.6345044994343,1,0.0987406202093569
"s__Phascolarctobacterium_succinatutens","s__Phascolarctobacterium_succinatutens","CRC",-0.00559481481381092,0.00582106802407456,0.336485796391037,5,7.17081752242567e-05,0.00012017566762542,0.120020317147509,44.4428564408422,1.79994855015393,17.9875408408645,41.0307167578983,9.97713345423664,15.0961350579614,15.9084738890391,1,0.65927490603444
"s__Coprococcus_catus","s__Coprococcus_catus","CRC",0.000346863775264785,0.00244298188029762,0.887092826157448,5,0,1.95198105733026e-05,0.82239037016233,0,1,7.38334348777087,3.12792234765577,31.9741851050415,33.676545607886,23.8380034516458,1,0.963492895107038
